"FullName","SizeMB","LastWriteTime","RelevanceScore","Signals","HybridDatasetConfirmed"
"C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\01-logs\project\00_project_info.log","0.005","8/25/2026 11:00:27 AM","22","CONTENT_HYBRID_DATASET;CONTENT_INSTA360","True"
"C:\nerfstudio_work\panteon-chacarita\panteon-asociacion-catalana\logs\project\00_project_info.log","0.005","8/13/2026 9:39:46 AM","22","CONTENT_HYBRID_DATASET;CONTENT_INSTA360","True"
"C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\01-logs\clean\00_dataset_info.log","0.001","8/25/2026 11:00:27 AM","20","CONTENT_HYBRID_DATASET","True"
"C:\nerfstudio_work\panteon-chacarita\panteon-asociacion-catalana\logs\clean\00_dataset_info.log","0.001","8/13/2026 9:39:58 AM","20","CONTENT_HYBRID_DATASET","True"
"C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\01-logs\dji-only\splatfacto-full\train-splatfacto-full-ds8.log","4.467","8/25/2026 11:00:27 AM","11","PATH_DJI;CONTENT_DJI;CONTENT_INSTA360;CONTENT_DJI+INSTA360","False"
"C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\01-logs\dji\07_train_splatfacto.log","4.324","8/25/2026 11:00:27 AM","11","PATH_DJI;CONTENT_DJI;CONTENT_INSTA360;CONTENT_DJI+INSTA360","False"
"C:\nerfstudio_work\panteon-chacarita\panteon-asociacion-catalana\logs\dji-only\splatfacto-full\train-splatfacto-full-ds8.log","4.467","8/24/2026 8:07:09 AM","11","PATH_DJI;CONTENT_DJI;CONTENT_INSTA360;CONTENT_DJI+INSTA360","False"
"C:\nerfstudio_work\panteon-chacarita\panteon-asociacion-catalana\logs\dji\07_train_splatfacto.log","4.324","8/13/2026 6:26:48 PM","11","PATH_DJI;CONTENT_DJI;CONTENT_INSTA360;CONTENT_DJI+INSTA360","False"
"C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\01-logs\experiment-trace\07_metrics\existing-log-files.txt","0.003","8/25/2026 11:00:27 AM","9","CONTENT_DJI;CONTENT_INSTA360;CONTENT_DJI+INSTA360","False"
"C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\01-logs\experiment-trace\04_splatfacto\train-splatfacto-full-ds8.log","4.467","8/25/2026 11:00:27 AM","9","CONTENT_DJI;CONTENT_INSTA360;CONTENT_DJI+INSTA360","False"
"C:\nerfstudio_work\panteon-chacarita\panteon-asociacion-catalana\logs\experiment-trace\04_splatfacto\train-splatfacto-full-ds8.log","4.467","8/25/2026 8:20:22 AM","9","CONTENT_DJI;CONTENT_INSTA360;CONTENT_DJI+INSTA360","False"
"C:\nerfstudio_work\panteon-chacarita\panteon-asociacion-catalana\logs\experiment-trace\07_metrics\existing-log-files.txt","0.003","8/25/2026 8:19:13 AM","9","CONTENT_DJI;CONTENT_INSTA360;CONTENT_DJI+INSTA360","False"
"C:\nerfstudio_work\thesis\02-templete-central\02-resultados-finales\dji\splatfacto\render\render-benchmark-metrics.log","0.001","8/25/2026 4:25:11 PM","4","PATH_DJI;CONTENT_DJI","False"
"C:\nerfstudio_work\thesis\02-templete-central\02-resultados-finales\dji\nerfacto\render\render-benchmark-metrics.log","0.001","8/25/2026 4:24:36 PM","4","PATH_DJI;CONTENT_DJI","False"
"C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\02-resultados-finales\insta360\splatfacto\export\gaussian-splat-metrics.log","0.002","8/25/2026 4:17:03 PM","4","PATH_INSTA360;CONTENT_INSTA360","False"
"C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\02-resultados-finales\dji\splatfacto\export\gaussian-splat-metrics.log","0.002","8/25/2026 4:17:03 PM","4","PATH_DJI;CONTENT_DJI","False"
"C:\nerfstudio_work\thesis\02-templete-central\02-resultados-finales\insta360\splatfacto\export\gaussian-splat-metrics.log","0.002","8/25/2026 4:17:03 PM","4","PATH_INSTA360;CONTENT_INSTA360","False"
"C:\nerfstudio_work\thesis\02-templete-central\02-resultados-finales\dji\splatfacto\export\gaussian-splat-metrics.log","0.002","8/25/2026 4:17:03 PM","4","PATH_DJI;CONTENT_DJI","False"
"C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\03-datasets\insta360\dataset-insta360\camera-trajectory-metrics.log","0.001","8/25/2026 4:16:02 PM","4","PATH_INSTA360;CONTENT_INSTA360","False"
"C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\03-datasets\dji\dataset-splatfacto-1507-full\camera-trajectory-metrics.log","0.001","8/25/2026 4:16:02 PM","4","PATH_DJI;CONTENT_DJI","False"
"C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\03-datasets\dji\dataset-nerfacto-302-subset\camera-trajectory-metrics.log","0.001","8/25/2026 4:16:02 PM","4","PATH_DJI;CONTENT_DJI","False"
"C:\nerfstudio_work\thesis\02-templete-central\03-datasets\insta360\dataset-insta360\camera-trajectory-metrics.log","0.001","8/25/2026 4:16:02 PM","4","PATH_INSTA360;CONTENT_INSTA360","False"
"C:\nerfstudio_work\thesis\02-templete-central\03-datasets\dji\dataset-splatfacto-1232-full\camera-trajectory-metrics.log","0.001","8/25/2026 4:16:02 PM","4","PATH_DJI;CONTENT_DJI","False"
"C:\nerfstudio_work\thesis\02-templete-central\03-datasets\dji\dataset-nerfacto-308-subset\camera-trajectory-metrics.log","0.001","8/25/2026 4:16:01 PM","4","PATH_DJI;CONTENT_DJI","False"
"C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\02-resultados-finales\dji\colmap-fotogrametria\textured-mesh-metrics.log","0.001","8/25/2026 12:14:01 PM","4","PATH_DJI;CONTENT_DJI","False"
"C:\nerfstudio_work\thesis\02-templete-central\02-resultados-finales\dji\colmap-fotogrametria\textured-mesh-metrics.log","0.001","8/25/2026 12:12:08 PM","4","PATH_DJI;CONTENT_DJI","False"
"C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\02-resultados-finales\dji\colmap-fotogrametria\dense-cloud-metrics.log","0.002","8/25/2026 12:01:43 PM","4","PATH_DJI;CONTENT_DJI","False"
"C:\nerfstudio_work\thesis\02-templete-central\02-resultados-finales\dji\colmap-fotogrametria\dense-cloud-metrics.log","0.001","8/25/2026 11:59:16 AM","4","PATH_DJI;CONTENT_DJI","False"
