caso,metodo_captura,tecnica,artefacto,archivo,size_mb,path
01-paraguas-vicentelopez,dji,nerfacto,checkpoint (.ckpt),step-000029999.ckpt,168.07,C:\nerfstudio_work\thesis\01-paraguas-vicentelopez\02-resultados-finales\nerfacto\2026-06-20_233157\nerfstudio_models\step-000029999.ckpt
01-paraguas-vicentelopez,dji,sfm-fotogrametria,nube/malla (.obj),textured-mesh.obj,755.9,C:\nerfstudio_work\thesis\01-paraguas-vicentelopez\02-resultados-finales\colmap-fotogrametria-densa\textured-mesh.obj
01-paraguas-vicentelopez,dji,sfm-fotogrametria,nube/malla (.ply),fused_medium_high.ply,54.26,C:\nerfstudio_work\thesis\01-paraguas-vicentelopez\02-resultados-finales\colmap-fotogrametria-densa\fused_medium_high.ply
01-paraguas-vicentelopez,dji,sfm-fotogrametria,nube/malla (.ply),fused_medium_high_clean.ply,12.95,C:\nerfstudio_work\thesis\01-paraguas-vicentelopez\02-resultados-finales\colmap-fotogrametria-densa\fused_medium_high_clean.ply
01-paraguas-vicentelopez,dji,sfm-fotogrametria,nube/malla (.ply),meshed-poisson-clean-trim5.ply,29.83,C:\nerfstudio_work\thesis\01-paraguas-vicentelopez\02-resultados-finales\colmap-fotogrametria-densa\meshed-poisson-clean-trim5.ply
01-paraguas-vicentelopez,dji,sfm-fotogrametria,nube/malla (.ply),meshed-poisson-medium-high.ply,14.66,C:\nerfstudio_work\thesis\01-paraguas-vicentelopez\02-resultados-finales\colmap-fotogrametria-densa\meshed-poisson-medium-high.ply
01-paraguas-vicentelopez,dji,splatfacto,checkpoint (.ckpt),step-000029999.ckpt,161.72,C:\nerfstudio_work\thesis\01-paraguas-vicentelopez\02-resultados-finales\splatfacto\2026-06-20_191333\nerfstudio_models\step-000029999.ckpt
01-paraguas-vicentelopez,dji,splatfacto,export final (splat.ply),splat.ply,52.35,C:\nerfstudio_work\thesis\01-paraguas-vicentelopez\02-resultados-finales\splatfacto\export\splat.ply
02-templete-central,dji,nerfacto,checkpoint (.ckpt),step-000029999.ckpt,167.92,C:\nerfstudio_work\thesis\02-templete-central\02-resultados-finales\dji\nerfacto\2026-08-24_220201\nerfstudio_models\step-000029999.ckpt
02-templete-central,dji,sfm-fotogrametria,nube/malla (.obj),textured-mesh.obj,3934.31,C:\nerfstudio_work\thesis\02-templete-central\02-resultados-finales\dji\colmap-fotogrametria\textured-mesh.obj
02-templete-central,dji,sfm-fotogrametria,nube/malla (.xyz),nube-densa.xyz,1143.81,C:\nerfstudio_work\thesis\02-templete-central\02-resultados-finales\dji\colmap-fotogrametria\nube-densa.xyz
02-templete-central,dji,splatfacto,checkpoint (.ckpt),step-000029999.ckpt,231.45,C:\nerfstudio_work\thesis\02-templete-central\02-resultados-finales\dji\splatfacto\2026-08-24_232220\nerfstudio_models\step-000029999.ckpt
02-templete-central,dji,splatfacto,export final (splat.ply),splat.ply,74.69,C:\nerfstudio_work\thesis\02-templete-central\02-resultados-finales\dji\splatfacto\export\splat.ply
02-templete-central,insta360,nerfacto,checkpoint (.ckpt),step-000029999.ckpt,167.92,C:\nerfstudio_work\thesis\02-templete-central\02-resultados-finales\insta360\nerfacto\2026-08-12_233328\nerfstudio_models\step-000029999.ckpt
02-templete-central,insta360,splatfacto,checkpoint (.ckpt),step-000029999.ckpt,271.97,C:\nerfstudio_work\thesis\02-templete-central\02-resultados-finales\insta360\splatfacto\2026-08-13_014408\nerfstudio_models\step-000029999.ckpt
02-templete-central,insta360,splatfacto,export final (splat.ply),splat.ply,90.9,C:\nerfstudio_work\thesis\02-templete-central\02-resultados-finales\insta360\splatfacto\export\splat.ply
03-panteon-asociacion-catalana,dji,nerfacto,checkpoint (.ckpt),step-000029999.ckpt,167.91,C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\02-resultados-finales\dji\nerfacto\2026-08-23_191033\nerfstudio_models\step-000029999.ckpt
03-panteon-asociacion-catalana,dji,sfm-fotogrametria,nube/malla (.obj),textured-mesh.obj,3993.91,C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\02-resultados-finales\dji\colmap-fotogrametria\textured-mesh.obj
03-panteon-asociacion-catalana,dji,sfm-fotogrametria,nube/malla (.xyz),nube-densa.xyz,1137.79,C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\02-resultados-finales\dji\colmap-fotogrametria\nube-densa.xyz
03-panteon-asociacion-catalana,dji,splatfacto,checkpoint (.ckpt),step-000029999.ckpt,225.48,C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\02-resultados-finales\dji\splatfacto\2026-08-24_004501\nerfstudio_models\step-000029999.ckpt
03-panteon-asociacion-catalana,dji,splatfacto,export final (splat.ply),splat.ply,74.58,C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\02-resultados-finales\dji\splatfacto\export\splat.ply
03-panteon-asociacion-catalana,insta360,nerfacto,checkpoint (.ckpt),step-000029999.ckpt,167.92,C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\02-resultados-finales\insta360\nerfacto\2026-08-13_132710\nerfstudio_models\step-000029999.ckpt
03-panteon-asociacion-catalana,insta360,splatfacto,checkpoint (.ckpt),step-000029999.ckpt,251.03,C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\02-resultados-finales\insta360\splatfacto\2026-08-13_153432\nerfstudio_models\step-000029999.ckpt
03-panteon-asociacion-catalana,insta360,splatfacto,export final (splat.ply),splat.ply,83.7,C:\nerfstudio_work\thesis\03-panteon-asociacion-catalana\02-resultados-finales\insta360\splatfacto\export\splat.ply
