caso,etapa,metodo_captura,tecnica,duracion_segundos,duracion_legible,inicio,fin,fuente
01-paraguas-vicentelopez,entrenamiento-nerfacto,dji,nerfacto,3332.2,55m 32s,2026-06-20T20:31:57.351928,2026-06-20T21:27:29.553414,C:\nerfstudio_work\paraguas-vicentelopez\outputs\paraguas-vicentelopez-drone-nerfacto-v2\nerfacto\2026-06-20_233157
01-paraguas-vicentelopez,entrenamiento-splatfacto,dji,splatfacto,4397.3,1h 13m 17s,2026-06-20T16:13:33.190671,2026-06-20T17:26:50.473016,C:\nerfstudio_work\paraguas-vicentelopez\outputs\paraguas-vicentelopez-drone-splatfacto\splatfacto\2026-06-20_191333
02-templete-central,entrenamiento-nerfacto,dji,nerfacto,2760.7,46m 1s,2026-08-24T19:02:01.429276,2026-08-24T19:48:02.160687,C:\nerfstudio_work\panteon-chacarita\templete-central\outputs-templete-nerf308\templete-central-realityscan-nerf308\nerfacto\2026-08-24_220201
02-templete-central,entrenamiento-splatfacto,dji,splatfacto,2020.7,33m 41s,2026-08-24T20:22:20.680074,2026-08-24T20:56:01.377623,C:\nerfstudio_work\panteon-chacarita\templete-central\outputs-templete-splat\templete-central-realityscan-splat-ds8\splatfacto\2026-08-24_232220
02-templete-central,entrenamiento-nerfacto,insta360,nerfacto,5898.1,1h 38m 18s,2026-08-12T20:33:28.344831,2026-08-12T22:11:46.442166,C:\nerfstudio_work\panteon-chacarita\templete-central\outputs\templete-central-insta360-realityscan-nerfacto\nerfacto\2026-08-12_233328
02-templete-central,entrenamiento-splatfacto,insta360,splatfacto,3713.1,1h 1m 53s,2026-08-12T22:44:08.604070,2026-08-12T23:46:01.674892,C:\nerfstudio_work\panteon-chacarita\templete-central\outputs\templete-central-insta360-realityscan-splatfacto\splatfacto\2026-08-13_014408
03-panteon-asociacion-catalana,entrenamiento-nerfacto,dji,nerfacto,5914.6,1h 38m 35s,2026-08-23T16:10:33.309474,2026-08-23T17:49:07.925375,C:\nerfstudio_work\panteon-chacarita\panteon-asociacion-catalana\outputs-djionly-nerf300\colmap-nerfstudio-nerf300\nerfacto\2026-08-23_191033
03-panteon-asociacion-catalana,entrenamiento-splatfacto,dji,splatfacto,2174.7,36m 15s,2026-08-23T21:45:01.971356,2026-08-23T22:21:16.703708,C:\nerfstudio_work\panteon-chacarita\panteon-asociacion-catalana\outputs-djionly-splat\panteon-asociacion-catalana-dji-splatfacto-full-ds8\splatfacto\2026-08-24_004501
03-panteon-asociacion-catalana,entrenamiento-nerfacto,insta360,nerfacto,4377.7,1h 12m 58s,2026-08-13T10:27:10.488352,2026-08-13T11:40:08.158677,C:\nerfstudio_work\panteon-chacarita\panteon-asociacion-catalana\outputs\panteon-catalana-insta360-realityscan-nerfacto\nerfacto\2026-08-13_132710
03-panteon-asociacion-catalana,entrenamiento-splatfacto,insta360,splatfacto,9287.5,2h 34m 48s,2026-08-13T12:34:32.211943,2026-08-13T15:09:19.731048,C:\nerfstudio_work\panteon-chacarita\panteon-asociacion-catalana\outputs\panteon-catalana-insta360-realityscan-splatfacto\splatfacto\2026-08-13_153432
02-templete-central,render,N/A,N/A,607,10m 7s,,,C:\nerfstudio_work\panteon-chacarita\templete-central\logs\experiment-trace\08_metrics\experiment-summary.txt
03-panteon-asociacion-catalana,render,N/A,N/A,4839,1h 20m 39s,,,C:\nerfstudio_work\panteon-chacarita\panteon-asociacion-catalana\logs\experiment-trace\07_metrics\experiment-summary.txt
03-panteon-asociacion-catalana,render,N/A,N/A,192,3m 12s,,,C:\nerfstudio_work\panteon-chacarita\panteon-asociacion-catalana\logs\experiment-trace\07_metrics\experiment-summary.txt
