caso,metodo_captura,pipeline_sfm,imgs_entrada,imgs_registradas_reportadas,imgs_registradas_reales,tasa_reportada_pct,tasa_real_pct,componentes,estado,fuente
02-templete-central,DJI (subset secuencial),COLMAP nativo (ns-process-data),487,3,487,0.62,100.0,3,"Exito oculto, no usado — wrapper de Nerfstudio reporto el componente chico (0/1) en vez del grande (2)","sfm-dji-sequential/colmap/sparse/{0,1,2} (parseado con colmap_component_to_nerfstudio.py)"
02-templete-central,Insta360 fisheye (secuencial),COLMAP nativo (ns-process-data),307,2,305,0.65,99.3,2,"Exito oculto, no usado — mismo problema de componente equivocado","sfm-insta360-sequential-fisheye/colmap/sparse/{0,1}"
02-templete-central,Insta360 perspective (secuencial),COLMAP nativo (ns-process-data),307,15,297,4.89,96.7,2,"Exito oculto, no usado — mismo problema de componente equivocado","sfm-insta360-sequential-perspective/colmap/sparse/{0,1}"
02-templete-central,Hibrido DJI+Insta360 (487+307),"COLMAP nativo, matching exhaustivo (ns-process-data)",794,3,794,0.38,100.0,2,Exito oculto — RESCATADO: exportado a thesis/02-templete-central/03-datasets/hibrido/dataset-hibrido-794-exhaustive/,"sfm-templete-central-exhaustive/colmap/sparse/{0,1}"
02-templete-central,"Hibrido DJI+Insta360 (487+307), corrida 2","COLMAP nativo, matching exhaustivo (docker aislado)",794,5,5,0.63,0.63,1,"Fallo real, verificado — el mapper no completa el registro del dataset; matching cruzado DJI-Insta360 sistematicamente mas debil que intra-dispositivo (ver 00-auditoria/hybrid-cross-camera-matching/)",01-experimentos/hybrid-dji-insta360-colmap/run-20260825-183608/colmap/sparse/0
02-templete-central,DJI (dataset final),RealityScan,1234,1232,1232,99.84,99.84,1,"Exito, en uso — dataset final (splatfacto full + subset nerfacto)",ns-from-realityscan/ ; thesis 03-datasets/dji/
02-templete-central,Insta360 (dataset final),RealityScan,307,306,306,99.67,99.67,1,"Exito, en uso — dataset final (nerfacto + splatfacto)",logs/11_process_realityscan_insta360.log ; thesis 03-datasets/insta360/
03-panteon-asociacion-catalana,Insta360 solo,RealityScan,365,311,311,85.21,85.21,1,"Exito parcial, en uso — unico dataset Insta360 disponible para este caso",logs/insta360/01_realityscan_alignment.log
03-panteon-asociacion-catalana,DJI acotado (608),RealityScan,608,490,490,80.6,80.6,1,"Exito parcial, superado por el dataset DJI grande (1507)",logs/dji/03_nerfstudio_dataset_conversion.log
03-panteon-asociacion-catalana,DJI acotado (max 600),RealityScan,600,484,484,80.7,80.7,1,"Variante del anterior (limite --max_dataset_size), mismo destino",logs/dji/03_nerfstudio_dataset_conversion_max600.log
03-panteon-asociacion-catalana,Hibrido DJI+Insta360 (608+365),RealityScan,973,,,,,,Sin exportar — el proyecto RealityScan (colmap-dataclean.rsproj) nunca se exporto a modelo COLMAP; no hay nada que parsear,dataset-clean/ ; colmap-dataclean.rsproj ; sfm-realityscan/clean/ (vacia)
03-panteon-asociacion-catalana,"DJI (dataset final, 1507)",RealityScan + COLMAP nativo (ambos coincidieron),1507,1506,1506,99.93,99.93,1,"Exito, en uso — dataset final (splatfacto full + subset nerfacto)",sfm-djionly/colmap-nerfstudio/ ; sfm-djionly/colmap-realityscan/ ; thesis 03-datasets/dji/
