metric,value
total_frames_in_transforms,707.0
valid_camera_poses,707.0
path_length_dataset_units,89.77979072040577
bbox_min_x,-4.406613406222551
bbox_min_y,-4.538632291719043
bbox_min_z,-2.192512124980195
bbox_max_x,4.896361387640918
bbox_max_y,4.35728306983263
bbox_max_z,1.1765600957031837
bbox_size_x,9.30297479386347
bbox_size_y,8.895915361551673
bbox_size_z,3.3690722206833783
center_x,-0.015191039741297655
center_y,-0.02791916343828491
center_z,-0.04813766170729506
step_mean,0.12716684238017814
step_median,0.03765731801204336
step_std,0.4469761291601598
step_min,0.0009668785028778749
step_max,8.847770175957546
