log_name,stage,path,size_kb,real_seconds,real_hms,status,has_error,error_terms,fps_values_detected,image_mentions_detected,ratio_mentions_detected
00_system_dataset_info.log,system_dataset_info,/content/drive/MyDrive/Tesis: Tecnicas de CV para Reconstruccion Arquitectonica/notebooks/datasets/logs/00_system_dataset_info.log,4.74,,,,False,,,,
01_ns_process_data_sequential.log,ns_process_data_colmap_sparse,/content/drive/MyDrive/Tesis: Tecnicas de CV para Reconstruccion Arquitectonica/notebooks/datasets/logs/01_ns_process_data_sequential.log,1.13,5837.799,1h 37m 17.8s,,False,,,"707, 707",
02_train_splatfacto.log,train_splatfacto,/content/drive/MyDrive/Tesis: Tecnicas de CV para Reconstruccion Arquitectonica/notebooks/datasets/logs/02_train_splatfacto.log,4582.93,,,,False,,,500,
03_render_dataset_trajectory.log,render_splatfacto_dataset,/content/drive/MyDrive/Tesis: Tecnicas de CV para Reconstruccion Arquitectonica/notebooks/datasets/logs/03_render_dataset_trajectory.log,1.21,152.914,2m 32.9s,,False,,5.74,500,637/637
04_render_spiral_rgb.log,render_spiral_attempt,/content/drive/MyDrive/Tesis: Tecnicas de CV para Reconstruccion Arquitectonica/notebooks/datasets/logs/04_render_spiral_rgb.log,0.79,28.566,28.6s,,True,"AssertionError, ERROR, Error, Traceback",,500,
04_render_spiral_simple.log,render_spiral_attempt,/content/drive/MyDrive/Tesis: Tecnicas de CV para Reconstruccion Arquitectonica/notebooks/datasets/logs/04_render_spiral_simple.log,0.79,25.083,25.1s,,True,"AssertionError, ERROR, Error, Traceback",,500,
05_export_gaussian_splat_ply.log,export_gaussian_splat,/content/drive/MyDrive/Tesis: Tecnicas de CV para Reconstruccion Arquitectonica/notebooks/datasets/logs/05_export_gaussian_splat_ply.log,0.37,60.5,1m 0.5s,,False,,,500,221331/225531
06_train_nerfacto.log,train_nerfacto,/content/drive/MyDrive/Tesis: Tecnicas de CV para Reconstruccion Arquitectonica/notebooks/datasets/logs/06_train_nerfacto.log,12.43,,,,True,"Cannot allocate memory, ERROR, Error, Exception, Traceback",,"70, 32",
06_train_nerfacto_v2.log,train_nerfacto,/content/drive/MyDrive/Tesis: Tecnicas de CV para Reconstruccion Arquitectonica/notebooks/datasets/logs/06_train_nerfacto_v2.log,4422.13,,,,False,,,70,
08_render_nerfacto_dataset_traj.log,render_nerfacto_dataset,/content/drive/MyDrive/Tesis: Tecnicas de CV para Reconstruccion Arquitectonica/notebooks/datasets/logs/08_render_nerfacto_dataset_traj.log,1.18,1170.245,19m 30.2s,,False,,0.37,,637/637
10_colmap_image_undistorter_clean.log,colmap_image_undistorter,/content/drive/MyDrive/Tesis: Tecnicas de CV para Reconstruccion Arquitectonica/notebooks/datasets/logs/10_colmap_image_undistorter_clean.log,54.6,217.4,3m 37.4s,,False,,,"29506, 707","1/707, 2/707, 3/707, 4/707, 5/707, 6/707, 7/707, 8/707, 9/707, 10/707"
11_colmap_patch_match_stereo_clean.log,colmap_patch_match_stereo,/content/drive/MyDrive/Tesis: Tecnicas de CV para Reconstruccion Arquitectonica/notebooks/datasets/logs/11_colmap_patch_match_stereo_clean.log,6943.35,24598.691,6h 49m 58.7s,,False,,,,"1/707, 2/707, 3/707, 4/707, 5/707, 6/707, 7/707, 8/707, 9/707, 10/707"
12_colmap_stereo_fusion_clean.log,colmap_stereo_fusion,/content/drive/MyDrive/Tesis: Tecnicas de CV para Reconstruccion Arquitectonica/notebooks/datasets/logs/12_colmap_stereo_fusion_clean.log,1.11,67.17,1m 7.2s,,True,"ERROR, Error",,,
12_colmap_stereo_fusion_clean_v2.log,colmap_stereo_fusion,/content/drive/MyDrive/Tesis: Tecnicas de CV para Reconstruccion Arquitectonica/notebooks/datasets/logs/12_colmap_stereo_fusion_clean_v2.log,106.01,432.752,7m 12.8s,,True,"ERROR, Error",,,"1/707, 2/707, 3/707, 4/707, 5/707, 6/707, 7/707, 8/707, 9/707, 10/707"
12_colmap_stereo_fusion_high_safe_nohup.log,colmap_stereo_fusion,/content/drive/MyDrive/Tesis: Tecnicas de CV para Reconstruccion Arquitectonica/notebooks/datasets/logs/12_colmap_stereo_fusion_high_safe_nohup.log,106.39,,,137.0,True,"ERROR, Error, Killed, STATUS=137",,,"1/707, 2/707, 3/707, 4/707, 5/707, 6/707, 7/707, 8/707, 9/707, 10/707"
12_colmap_stereo_fusion_medium_high_nohup.log,colmap_stereo_fusion,/content/drive/MyDrive/Tesis: Tecnicas de CV para Reconstruccion Arquitectonica/notebooks/datasets/logs/12_colmap_stereo_fusion_medium_high_nohup.log,106.03,,,0.0,True,"ERROR, Error",,,"1/707, 2/707, 3/707, 4/707, 5/707, 6/707, 7/707, 8/707, 9/707, 10/707"
12_colmap_stereo_fusion_medium_nohup.log,colmap_stereo_fusion,/content/drive/MyDrive/Tesis: Tecnicas de CV para Reconstruccion Arquitectonica/notebooks/datasets/logs/12_colmap_stereo_fusion_medium_nohup.log,105.91,,,0.0,True,"ERROR, Error",,,"1/707, 2/707, 3/707, 4/707, 5/707, 6/707, 7/707, 8/707, 9/707, 10/707"
12_colmap_stereo_fusion_tmp.log,colmap_stereo_fusion,/content/drive/MyDrive/Tesis: Tecnicas de CV para Reconstruccion Arquitectonica/notebooks/datasets/logs/12_colmap_stereo_fusion_tmp.log,106.01,357.117,5m 57.1s,,True,"ERROR, Error",,,"1/707, 2/707, 3/707, 4/707, 5/707, 6/707, 7/707, 8/707, 9/707, 10/707"
13_colmap_poisson_clean_trim5.log,colmap_poisson_meshing,/content/drive/MyDrive/Tesis: Tecnicas de CV para Reconstruccion Arquitectonica/notebooks/datasets/logs/13_colmap_poisson_clean_trim5.log,0.13,,,0.0,False,,,,
15_colmap_photogrammetry_report.txt,photogrammetry_summary_report,/content/drive/MyDrive/Tesis: Tecnicas de CV para Reconstruccion Arquitectonica/notebooks/datasets/logs/15_colmap_photogrammetry_report.txt,1.06,,,0.0,True,STATUS=137,,,
