metric_group,log_name,metric,value,unit,value_numeric
dataset_registration,01_ns_process_data_sequential.log,total_images_mentioned,707,images,707.0
dataset_registration,01_ns_process_data_sequential.log,colmap_poses_found,,images,
dataset_registration,01_ns_process_data_sequential.log,colmap_images_matched,707,images,707.0
render,03_render_dataset_trajectory.log,frames_rendered,637,frames,637.0
render,03_render_dataset_trajectory.log,frames_target,637,frames,637.0
render,03_render_dataset_trajectory.log,fps,5.74,fps,5.74
gaussian_export,05_export_gaussian_splat_ply.log,gaussians_exported,221331,gaussians,221331.0
gaussian_export,05_export_gaussian_splat_ply.log,gaussians_total,225531,gaussians,225531.0
gaussian_export,05_export_gaussian_splat_ply.log,gaussians_low_opacity,4200,gaussians,4200.0
gaussian_export,05_export_gaussian_splat_ply.log,gaussians_nan_inf,0,gaussians,0.0
render,08_render_nerfacto_dataset_traj.log,frames_rendered,637,frames,637.0
render,08_render_nerfacto_dataset_traj.log,frames_target,637,frames,637.0
render,08_render_nerfacto_dataset_traj.log,fps,0.37,fps,0.37
pointcloud,10_colmap_image_undistorter_clean.log,points_mentioned_1,161708,points,161708.0
pointcloud,12_colmap_stereo_fusion_clean_v2.log,points_mentioned_1,77114,points,77114.0
pointcloud,12_colmap_stereo_fusion_clean_v2.log,points_mentioned_2,98027,points,98027.0
pointcloud,12_colmap_stereo_fusion_clean_v2.log,points_mentioned_3,113295,points,113295.0
pointcloud,12_colmap_stereo_fusion_clean_v2.log,points_mentioned_4,129616,points,129616.0
pointcloud,12_colmap_stereo_fusion_clean_v2.log,points_mentioned_5,141258,points,141258.0
pointcloud,12_colmap_stereo_fusion_clean_v2.log,points_mentioned_6,147254,points,147254.0
pointcloud,12_colmap_stereo_fusion_clean_v2.log,points_mentioned_7,156512,points,156512.0
pointcloud,12_colmap_stereo_fusion_clean_v2.log,points_mentioned_8,164483,points,164483.0
pointcloud,12_colmap_stereo_fusion_clean_v2.log,points_mentioned_9,173606,points,173606.0
pointcloud,12_colmap_stereo_fusion_clean_v2.log,points_mentioned_10,183684,points,183684.0
pointcloud,12_colmap_stereo_fusion_clean_v2.log,points_mentioned_11,199343,points,199343.0
pointcloud,12_colmap_stereo_fusion_clean_v2.log,points_mentioned_12,207215,points,207215.0
pointcloud,12_colmap_stereo_fusion_clean_v2.log,points_mentioned_13,211942,points,211942.0
pointcloud,12_colmap_stereo_fusion_clean_v2.log,points_mentioned_14,216812,points,216812.0
pointcloud,12_colmap_stereo_fusion_clean_v2.log,points_mentioned_15,225533,points,225533.0
pointcloud,12_colmap_stereo_fusion_clean_v2.log,points_mentioned_16,228989,points,228989.0
pointcloud,12_colmap_stereo_fusion_clean_v2.log,points_mentioned_17,230653,points,230653.0
pointcloud,12_colmap_stereo_fusion_clean_v2.log,points_mentioned_18,231968,points,231968.0
pointcloud,12_colmap_stereo_fusion_clean_v2.log,points_mentioned_19,233018,points,233018.0
pointcloud,12_colmap_stereo_fusion_clean_v2.log,points_mentioned_20,233792,points,233792.0
pointcloud,12_colmap_stereo_fusion_clean_v2.log,points_mentioned_21,234359,points,234359.0
pointcloud,12_colmap_stereo_fusion_clean_v2.log,points_mentioned_22,235352,points,235352.0
pointcloud,12_colmap_stereo_fusion_clean_v2.log,points_mentioned_23,235775,points,235775.0
pointcloud,12_colmap_stereo_fusion_clean_v2.log,points_mentioned_24,238865,points,238865.0
pointcloud,12_colmap_stereo_fusion_clean_v2.log,points_mentioned_25,246376,points,246376.0
pointcloud,12_colmap_stereo_fusion_clean_v2.log,points_mentioned_26,249322,points,249322.0
pointcloud,12_colmap_stereo_fusion_clean_v2.log,points_mentioned_27,253360,points,253360.0
pointcloud,12_colmap_stereo_fusion_clean_v2.log,points_mentioned_28,257436,points,257436.0
pointcloud,12_colmap_stereo_fusion_clean_v2.log,points_mentioned_29,265756,points,265756.0
pointcloud,12_colmap_stereo_fusion_clean_v2.log,points_mentioned_30,269074,points,269074.0
pointcloud,12_colmap_stereo_fusion_clean_v2.log,points_mentioned_31,269659,points,269659.0
pointcloud,12_colmap_stereo_fusion_clean_v2.log,points_mentioned_32,269741,points,269741.0
pointcloud,12_colmap_stereo_fusion_clean_v2.log,points_mentioned_33,270477,points,270477.0
pointcloud,12_colmap_stereo_fusion_clean_v2.log,points_mentioned_34,272039,points,272039.0
pointcloud,12_colmap_stereo_fusion_clean_v2.log,points_mentioned_35,291254,points,291254.0
pointcloud,12_colmap_stereo_fusion_clean_v2.log,points_mentioned_36,311880,points,311880.0
pointcloud,12_colmap_stereo_fusion_clean_v2.log,points_mentioned_37,322048,points,322048.0
pointcloud,12_colmap_stereo_fusion_clean_v2.log,points_mentioned_38,338282,points,338282.0
pointcloud,12_colmap_stereo_fusion_clean_v2.log,points_mentioned_39,345032,points,345032.0
pointcloud,12_colmap_stereo_fusion_clean_v2.log,points_mentioned_40,348685,points,348685.0
pointcloud,12_colmap_stereo_fusion_clean_v2.log,points_mentioned_41,351364,points,351364.0
pointcloud,12_colmap_stereo_fusion_clean_v2.log,points_mentioned_42,354742,points,354742.0
pointcloud,12_colmap_stereo_fusion_clean_v2.log,points_mentioned_43,357918,points,357918.0
pointcloud,12_colmap_stereo_fusion_clean_v2.log,points_mentioned_44,364578,points,364578.0
pointcloud,12_colmap_stereo_fusion_clean_v2.log,points_mentioned_45,369409,points,369409.0
pointcloud,12_colmap_stereo_fusion_clean_v2.log,points_mentioned_46,375239,points,375239.0
pointcloud,12_colmap_stereo_fusion_clean_v2.log,points_mentioned_47,381151,points,381151.0
pointcloud,12_colmap_stereo_fusion_clean_v2.log,points_mentioned_48,404911,points,404911.0
pointcloud,12_colmap_stereo_fusion_clean_v2.log,points_mentioned_49,418954,points,418954.0
pointcloud,12_colmap_stereo_fusion_clean_v2.log,points_mentioned_50,427039,points,427039.0
pointcloud,12_colmap_stereo_fusion_clean_v2.log,points_mentioned_51,431539,points,431539.0
pointcloud,12_colmap_stereo_fusion_clean_v2.log,points_mentioned_52,436013,points,436013.0
pointcloud,12_colmap_stereo_fusion_clean_v2.log,points_mentioned_53,439728,points,439728.0
pointcloud,12_colmap_stereo_fusion_clean_v2.log,points_mentioned_54,448205,points,448205.0
pointcloud,12_colmap_stereo_fusion_clean_v2.log,points_mentioned_55,466912,points,466912.0
pointcloud,12_colmap_stereo_fusion_clean_v2.log,points_mentioned_56,479358,points,479358.0
pointcloud,12_colmap_stereo_fusion_clean_v2.log,points_mentioned_57,486937,points,486937.0
pointcloud,12_colmap_stereo_fusion_clean_v2.log,points_mentioned_58,492390,points,492390.0
pointcloud,12_colmap_stereo_fusion_clean_v2.log,points_mentioned_59,496036,points,496036.0
pointcloud,12_colmap_stereo_fusion_clean_v2.log,points_mentioned_60,498736,points,498736.0
pointcloud,12_colmap_stereo_fusion_clean_v2.log,points_mentioned_61,500891,points,500891.0
pointcloud,12_colmap_stereo_fusion_clean_v2.log,points_mentioned_62,502558,points,502558.0
pointcloud,12_colmap_stereo_fusion_clean_v2.log,points_mentioned_63,503616,points,503616.0
pointcloud,12_colmap_stereo_fusion_clean_v2.log,points_mentioned_64,504428,points,504428.0
pointcloud,12_colmap_stereo_fusion_clean_v2.log,points_mentioned_65,505558,points,505558.0
pointcloud,12_colmap_stereo_fusion_clean_v2.log,points_mentioned_66,506140,points,506140.0
pointcloud,12_colmap_stereo_fusion_clean_v2.log,points_mentioned_67,506677,points,506677.0
pointcloud,12_colmap_stereo_fusion_clean_v2.log,points_mentioned_68,514206,points,514206.0
pointcloud,12_colmap_stereo_fusion_clean_v2.log,points_mentioned_69,515858,points,515858.0
