stage_order,log_name,stage,real_seconds,real_hms,status,has_error,error_terms,fps_values_detected,ratio_mentions_detected
0.0,00_system_dataset_info.log,system_dataset_info,,,,False,,,
1.0,01_ns_process_data_sequential.log,ns_process_data_colmap_sparse,5837.799,1h 37m 17.8s,,False,,,
2.0,02_train_splatfacto.log,train_splatfacto,,,,False,,,
3.0,03_render_dataset_trajectory.log,render_splatfacto_dataset,152.914,2m 32.9s,,False,,5.74,637/637
4.0,04_render_spiral_rgb.log,render_spiral_attempt,28.566,28.6s,,True,"AssertionError, ERROR, Error, Traceback",,
4.0,04_render_spiral_simple.log,render_spiral_attempt,25.083,25.1s,,True,"AssertionError, ERROR, Error, Traceback",,
5.0,05_export_gaussian_splat_ply.log,export_gaussian_splat,60.5,1m 0.5s,,False,,,221331/225531
6.0,06_train_nerfacto.log,train_nerfacto,,,,True,"Cannot allocate memory, ERROR, Error, Exception, Traceback",,
6.0,06_train_nerfacto_v2.log,train_nerfacto,,,,False,,,
8.0,08_render_nerfacto_dataset_traj.log,render_nerfacto_dataset,1170.245,19m 30.2s,,False,,0.37,637/637
10.0,10_colmap_image_undistorter_clean.log,colmap_image_undistorter,217.4,3m 37.4s,,False,,,"1/707, 2/707, 3/707, 4/707, 5/707, 6/707, 7/707, 8/707, 9/707, 10/707"
11.0,11_colmap_patch_match_stereo_clean.log,colmap_patch_match_stereo,24598.691,6h 49m 58.7s,,False,,,"1/707, 2/707, 3/707, 4/707, 5/707, 6/707, 7/707, 8/707, 9/707, 10/707"
12.0,12_colmap_stereo_fusion_clean.log,colmap_stereo_fusion,67.17,1m 7.2s,,True,"ERROR, Error",,
12.0,12_colmap_stereo_fusion_clean_v2.log,colmap_stereo_fusion,432.752,7m 12.8s,,True,"ERROR, Error",,"1/707, 2/707, 3/707, 4/707, 5/707, 6/707, 7/707, 8/707, 9/707, 10/707"
12.0,12_colmap_stereo_fusion_high_safe_nohup.log,colmap_stereo_fusion,,,137.0,True,"ERROR, Error, Killed, STATUS=137",,"1/707, 2/707, 3/707, 4/707, 5/707, 6/707, 7/707, 8/707, 9/707, 10/707"
12.0,12_colmap_stereo_fusion_medium_high_nohup.log,colmap_stereo_fusion,,,0.0,True,"ERROR, Error",,"1/707, 2/707, 3/707, 4/707, 5/707, 6/707, 7/707, 8/707, 9/707, 10/707"
12.0,12_colmap_stereo_fusion_medium_nohup.log,colmap_stereo_fusion,,,0.0,True,"ERROR, Error",,"1/707, 2/707, 3/707, 4/707, 5/707, 6/707, 7/707, 8/707, 9/707, 10/707"
12.0,12_colmap_stereo_fusion_tmp.log,colmap_stereo_fusion,357.117,5m 57.1s,,True,"ERROR, Error",,"1/707, 2/707, 3/707, 4/707, 5/707, 6/707, 7/707, 8/707, 9/707, 10/707"
13.0,13_colmap_poisson_clean_trim5.log,colmap_poisson_meshing,,,0.0,False,,,
15.0,15_colmap_photogrammetry_report.txt,photogrammetry_summary_report,,,0.0,True,STATUS=137,,
